r1	r2	r1.p.value	r2.p.value	r1*r2.p.value
1531	2331	0.589607	0.016058	0.0000095133
1531	2332	0.589607	0.016058	0.0000095133
1534	1830	0.289508	0.641927	0.0000038678
1554	2699	0.308793	0.905693	0.0000056054
1584	2416	0.000254	0.003029	0.0000038421
1585	1839	0.000172	0.056275	0.0000057143
1585	1835	0.000172	0.056275	0.0000057143
1585	1833	0.000172	0.056275	0.0000057143
1585	1838	0.000374	0.907745	0.0000090399
1585	1842	0.000373	0.948822	0.0000090885
1586	2078	0.029561	0.026542	0.0000010986
1587	2563	0.862741	0.000094	0.0000023722
1591	3683	0.531867	0.300933	0.0000072428
1597	1901	0.654124	0.000011	0.0000014649
1597	1906	0.446273	0.276829	0.0000044804
1600	1988	0.067106	0.208009	0.0000045358
1600	3959	0.000819	0.287068	0.0000021602
1600	3958	0.000819	0.287068	0.0000021602
1600	3961	0.000819	0.287068	0.0000021602
1600	4432	0.000942	0.006340	0.0000023159
1600	4475	0.000530	0.183001	0.0000036164
1600	4469	0.000631	0.361230	0.0000053880
1601	1838	0.057722	0.859651	0.0000082860
1601	1840	0.027423	0.893551	0.0000060501
1601	3875	0.018584	0.261379	0.0000013252
1606	3333	0.063804	0.112448	0.0000078248
1606	3330	0.063804	0.112448	0.0000078248
1606	3331	0.063804	0.112448	0.0000078248
1608	1919	0.000183	0.025393	0.0000084707
1608	1985	0.040510	0.862903	0.0000042416
1608	2866	0.028361	0.452450	0.0000045880
1609	4484	0.004657	0.818871	0.0000086349
1610	2940	0.073469	0.146368	0.0000038107
1611	1800	0.023146	0.516961	0.0000044202
1611	2957	0.111930	0.254168	0.0000085642
1611	2956	0.111930	0.254168	0.0000085642
1611	2968	0.039296	0.549277	0.0000056288
1612	1839	0.003192	0.138396	0.0000075994
1613	2970	0.000094	0.644083	0.0000092774
1613	2979	0.114191	0.007328	0.0000002505
1613	3712	0.020244	0.948383	0.0000070565
1613	4015	0.006316	0.036412	0.0000030433
1616	1842	0.163914	0.194596	0.0000091803
1616	1964	0.063620	0.003144	0.0000000555
1616	2448	0.111209	0.002833	0.0000091903
1619	1972	0.055507	0.043927	0.0000009032
1619	1995	0.088258	0.626508	0.0000069340
1627	2066	0.043805	0.161929	0.0000075847
1628	2045	0.015967	0.303524	0.0000002872
1629	1838	0.279325	0.559258	0.0000005215
1629	1961	0.748955	0.255752	0.0000099076
1629	1998	0.285587	0.092546	0.0000047656
1629	2027	0.887038	0.256935	0.0000049510
1629	2089	0.659295	0.801805	0.0000000239
1629	2090	0.471203	0.891650	0.0000022499
1633	1837	0.058110	0.086307	0.0000092921
1633	1858	0.164128	0.355139	0.0000084880
1633	1899	0.158709	0.004622	0.0000050269
1633	1901	0.200778	0.003430	0.0000063531
1633	1999	0.205195	0.023328	0.0000032605
1633	1996	0.199738	0.078576	0.0000039081
1636	2187	0.001404	0.877908	0.0000027348
1636	2787	0.031450	0.219113	0.0000029220
1636	2783	0.032558	0.214395	0.0000029160
1636	2859	0.023716	0.828386	0.0000032142
1636	2866	0.023906	0.719743	0.0000032825
1637	4470	0.000033	0.307537	0.0000035184
1639	2868	0.134935	0.982045	0.0000046014
1639	3108	0.740041	0.005300	0.0000041655
1639	3104	0.796399	0.011213	0.0000062199
1639	3155	0.015313	0.839920	0.0000075532
1639	4990	0.004974	0.702753	0.0000049390
1641	2802	0.000518	0.735783	0.0000033987
1642	4091	0.001513	0.013274	0.0000086008
1643	1755	0.000217	0.015835	0.0000027213
1643	1829	0.000430	0.089602	0.0000028914
1643	2073	0.006405	0.076082	0.0000011662
1643	2674	0.000382	0.882175	0.0000060975
1644	1759	0.003908	0.693613	0.0000014392
1644	3109	0.070123	0.357932	0.0000083742
1644	3953	0.007129	0.233604	0.0000044975
1644	3954	0.008797	0.220135	0.0000024019
1646	1716	0.012555	0.136975	0.0000026264
1646	2568	0.006621	0.420944	0.0000056582
1646	2734	0.010385	0.170982	0.0000045248
1646	3151	0.000380	0.264847	0.0000099214
1646	4474	0.009864	0.060941	0.0000072888
1646	4476	0.013455	0.058746	0.0000008043
1647	4630	0.195815	0.283166	0.0000079566
1648	3041	0.028129	0.009888	0.0000042027
1648	4579	0.003719	0.442991	0.0000011458
1651	2222	0.020526	0.819575	0.0000068094
1651	2515	0.001069	0.614585	0.0000006414
1651	2742	0.027644	0.556470	0.0000052642
1651	2740	0.021609	0.923392	0.0000044926
1651	3101	0.029407	0.300073	0.0000049487
1651	3109	0.033618	0.211257	0.0000040403
1651	3192	0.027313	0.293390	0.0000032163
1653	2464	0.001400	0.164684	0.0000030034
1654	1961	0.014713	0.721289	0.0000038942
1654	3373	0.010964	0.134759	0.0000036524
1656	1906	0.086591	0.188743	0.0000057220
1658	2006	0.112424	0.002265	0.0000018407
1658	2201	0.001109	0.013888	0.0000018221
1664	3814	0.367386	0.266745	0.0000071646
1672	1862	0.024188	0.258843	0.0000072145
1674	3775	0.605888	0.050284	0.0000015696
1674	4825	0.802601	0.503753	0.0000032524
1676	1844	0.047394	0.232525	0.0000099583
1677	4480	0.014747	0.157336	0.0000050141
1680	3296	0.089302	0.074950	0.0000055354
1682	2098	0.750338	0.770223	0.0000062520
1682	3036	0.036281	0.630454	0.0000015524
1683	3373	0.011172	0.026625	0.0000072826
1683	3376	0.011172	0.026625	0.0000072826
1683	3744	0.027936	0.116230	0.0000030118
1683	4703	0.016069	0.076226	0.0000076006
1683	4702	0.016069	0.076226	0.0000076006
1683	4700	0.016069	0.076226	0.0000076006
1684	3957	0.133542	0.000156	0.0000056825
1685	2490	0.186674	0.377201	0.0000093038
1685	4633	0.223651	0.264096	0.0000055733
1691	2684	0.200729	0.000032	0.0000055213
1693	2785	0.281426	0.640572	0.0000047736
1693	4815	0.027925	0.039317	0.0000032887
1698	1841	0.897489	0.118380	0.0000040720
1698	1839	0.897489	0.118380	0.0000040720
1698	1842	0.897489	0.118380	0.0000040720
1698	1843	0.897489	0.118380	0.0000040720
1699	4265	0.651669	0.484602	0.0000066956
1700	3237	0.186238	0.035845	0.0000024777
1701	4531	0.111435	0.014734	0.0000059111
1702	1837	0.081688	0.972220	0.0000059831
1702	1946	0.857370	0.597083	0.0000038771
1702	4948	0.453817	0.038840	0.0000052559
1705	4763	0.056592	0.848345	0.0000040885
1708	4662	0.060049	0.214829	0.0000035919
1712	2990	0.641918	0.048585	0.0000018872
1714	4865	0.017335	0.033470	0.0000044952
1715	1842	0.214517	0.334584	0.0000081275
1716	3935	0.488627	0.050560	0.0000064778
1719	2510	0.366940	0.782121	0.0000016178
1735	2507	0.269177	0.844787	0.0000073887
1741	2082	0.285534	0.138118	0.0000005646
1741	2087	0.268668	0.098085	0.0000055200
1743	1815	0.000162	0.016773	0.0000078364
1743	2309	0.488203	0.212902	0.0000039047
1743	2310	0.279656	0.039085	0.0000071333
1743	2416	0.447317	0.393191	0.0000045414
1743	2473	0.252746	0.843491	0.0000014263
1743	2476	0.259987	0.814977	0.0000048453
1743	2469	0.259987	0.814977	0.0000048453
1752	3838	0.005116	0.131047	0.0000067089
1755	1839	0.001712	0.789172	0.0000094463
1756	3960	0.003973	0.913809	0.0000067325
1761	3010	0.382539	0.004268	0.0000048767
1770	3116	0.031129	0.741446	0.0000094297
1777	2129	0.130105	0.009929	0.0000085005
1777	2464	0.517357	0.024712	0.0000019247
1787	1842	0.543828	0.036319	0.0000074228
1787	4821	0.392314	0.000684	0.0000069445
1791	2367	0.182944	0.007949	0.0000083350
1797	2242	0.446504	0.333358	0.0000058549
1797	4790	0.115623	0.000832	0.0000081364
1797	4791	0.115623	0.000832	0.0000081364
1805	3410	0.149218	0.042182	0.0000030546
1810	2500	0.000734	0.582543	0.0000036357
1810	3897	0.002355	0.080127	0.0000035701
1810	4731	0.012706	0.108058	0.0000080389
1811	4559	0.004542	0.191393	0.0000024640
1819	4605	0.063557	0.583453	0.0000064330
1822	4827	0.110981	0.051270	0.0000024987
1830	1893	0.700751	0.129051	0.0000061011
1837	2554	0.070695	0.003258	0.0000009701
1838	2092	0.000023	0.742782	0.0000071201
1863	3285	0.053137	0.242998	0.0000082046
1867	3055	0.000001	0.024866	0.0000007610
1884	2368	0.204387	0.583498	0.0000098271
1885	1999	0.000004	0.058646	0.0000051994
1889	3867	0.100855	0.309798	0.0000002797
1903	3359	0.141790	0.890746	0.0000068964
1911	2197	0.911902	0.020202	0.0000041765
1911	2982	0.661479	0.914415	0.0000071741
1912	2231	0.647414	0.102740	0.0000088076
1912	2867	0.859974	0.158811	0.0000065841
1923	1989	0.255215	0.333928	0.0000022213
1923	2786	0.132948	0.006070	0.0000002981
1924	2866	0.755963	0.226179	0.0000057143
1928	2868	0.671890	0.157037	0.0000062619
1928	2867	0.671890	0.157037	0.0000062619
1932	4092	0.196176	0.010463	0.0000080709
1935	2866	0.644595	0.436823	0.0000074577
1935	2867	0.644595	0.436823	0.0000074577
1939	2988	0.714510	0.301424	0.0000090096
1939	2990	0.704371	0.083378	0.0000060624
1939	2985	0.761648	0.169195	0.0000077673
1939	2993	0.704371	0.083378	0.0000060624
1939	2989	0.707120	0.089101	0.0000058433
1941	2976	0.654262	0.518120	0.0000081125
1941	2987	0.679301	0.535809	0.0000039222
1943	2167	0.780523	0.000418	0.0000094098
1943	2161	0.780523	0.000418	0.0000094098
1943	2163	0.780523	0.000418	0.0000094098
1943	2166	0.780523	0.000418	0.0000094098
1943	2168	0.780523	0.000418	0.0000094098
1943	2169	0.780523	0.000418	0.0000094098
1945	3328	0.949388	0.356160	0.0000017982
1948	2865	0.044379	0.302781	0.0000015688
1948	2867	0.044379	0.302781	0.0000015688
1948	2866	0.044379	0.302781	0.0000015688
1952	1965	0.140008	0.673688	0.0000080085
1956	2164	0.386906	0.261170	0.0000088459
1956	2163	0.386906	0.261170	0.0000088459
1956	2867	0.254106	0.021165	0.0000021981
1968	1989	0.929237	0.508444	0.0000047253
1969	1989	0.930657	0.477533	0.0000042626
1977	2867	0.156044	0.253250	0.0000095262
1985	2544	0.038254	0.000020	0.0000004050
1985	2546	0.038254	0.000020	0.0000004050
1985	2563	0.162939	0.003106	0.0000095430
1985	2564	0.162939	0.003106	0.0000095430
1986	2867	0.617219	0.527277	0.0000077449
1986	2866	0.617219	0.527277	0.0000077449
1986	2868	0.617219	0.527277	0.0000077449
1989	2301	0.059161	0.202667	0.0000034184
1989	2300	0.058744	0.253329	0.0000035788
1993	3822	0.206226	0.103407	0.0000074942
1998	2870	0.175064	0.315837	0.0000076791
1998	3339	0.904736	0.765871	0.0000071303
2000	2867	0.038727	0.352788	0.0000029667
2013	2695	0.119683	0.152406	0.0000088149
2016	2690	0.639265	0.957020	0.0000088862
2036	3209	0.008143	0.237650	0.0000085228
2039	2132	0.139489	0.025752	0.0000023631
2040	3242	0.786509	0.697561	0.0000074741
2043	3239	0.551252	0.873170	0.0000065863
2044	4344	0.653353	0.024479	0.0000054184
2046	2867	0.354513	0.156859	0.0000053853
2047	2237	0.443589	0.152288	0.0000058456
2047	2240	0.436324	0.056676	0.0000063494
2047	2866	0.081799	0.424014	0.0000063484
2047	2867	0.081799	0.424014	0.0000063484
2047	3776	0.816729	0.829742	0.0000072081
2062	3039	0.005562	0.000058	0.0000038170
2062	3528	0.347112	0.413695	0.0000097104
2062	4142	0.359574	0.772767	0.0000012671
2062	4143	0.359574	0.772767	0.0000012671
2062	4139	0.359574	0.772767	0.0000012671
2062	4141	0.359574	0.772767	0.0000012671
2062	4166	0.381765	0.970390	0.0000022005
2066	2934	0.163254	0.984160	0.0000072841
2070	2933	0.028567	0.874009	0.0000034127
2070	2934	0.023580	0.595967	0.0000023645
2070	2935	0.026625	0.746282	0.0000027822
2070	2956	0.020567	0.104789	0.0000027089
2070	4055	0.002884	0.020713	0.0000049992
2070	4563	0.000171	0.714476	0.0000077052
2071	2690	0.551100	0.123594	0.0000000693
2071	2692	0.420542	0.732014	0.0000001613
2071	2699	0.486563	0.147081	0.0000000582
2071	2695	0.486563	0.147081	0.0000000582
2071	2697	0.486563	0.147081	0.0000000582
2071	3813	0.475573	0.754955	0.0000000033
2071	4358	0.289266	0.071635	0.0000023364
2072	2561	0.510350	0.262215	0.0000071345
2072	2566	0.160972	0.271246	0.0000077258
2072	2565	0.160972	0.271246	0.0000077258
2072	2564	0.160972	0.271246	0.0000077258
2072	2567	0.160972	0.271246	0.0000077258
2073	2292	0.250474	0.000100	0.0000065636
2074	2868	0.055004	0.768225	0.0000017993
2086	3286	0.673619	0.514457	0.0000099443
2086	3874	0.080119	0.991518	0.0000081045
2087	2220	0.937034	0.284063	0.0000066878
2087	2217	0.965678	0.315416	0.0000018539
2089	2749	0.815688	0.505156	0.0000057023
2099	4532	0.330951	0.880496	0.0000068387
2107	2860	0.087256	0.558348	0.0000026954
2107	3878	0.007515	0.911749	0.0000008803
2115	3053	0.000790	0.910203	0.0000044084
2115	3055	0.001252	0.851893	0.0000057460
2120	2854	0.000025	0.996234	0.0000025970
2120	2856	0.000025	0.996234	0.0000025970
2120	2855	0.000025	0.996234	0.0000025970
2122	3243	0.270510	0.650236	0.0000037116
2128	2859	0.228231	0.012722	0.0000061495
2128	2867	0.182171	0.158669	0.0000079362
2131	2857	0.000049	0.883051	0.0000019318
2134	2855	0.000024	0.551414	0.0000029396
2145	2835	0.000001	0.723802	0.0000038010
2145	2832	0.000001	0.949198	0.0000028517
2145	2856	0.000003	0.860450	0.0000081754
2147	2856	0.000056	0.586371	0.0000026211
2147	3385	0.493537	0.122555	0.0000003584
2147	3387	0.642643	0.066176	0.0000010678
2151	2850	0.000001	0.867401	0.0000036159
2151	2855	0.000001	0.072125	0.0000030575
2152	4505	0.023922	0.955085	0.0000054641
2154	3414	0.161472	0.099312	0.0000072490
2157	2850	0.000004	0.081249	0.0000037573
2157	2855	0.000004	0.081249	0.0000037573
2157	2854	0.000004	0.081249	0.0000037573
2158	4092	0.718887	0.091543	0.0000028493
2159	2830	0.000002	0.063361	0.0000001565
2160	2855	0.000002	0.775370	0.0000058414
2161	3899	0.054265	0.004834	0.0000061878
2164	2856	0.000060	0.844072	0.0000020000
2168	2262	0.465093	0.203821	0.0000072527
2168	2419	0.167254	0.001321	0.0000001862
2168	2856	0.000012	0.885803	0.0000027235
2169	3777	0.005662	0.973960	0.0000078053
2169	3778	0.005637	0.952004	0.0000077972
2169	3780	0.005674	0.937118	0.0000078062
2169	4170	0.005893	0.767676	0.0000074773
2169	4169	0.005893	0.767676	0.0000074773
2169	4172	0.005893	0.767676	0.0000074773
2169	4173	0.005893	0.767676	0.0000074773
2169	4298	0.005850	0.134067	0.0000076389
2169	4296	0.005187	0.042938	0.0000082121
2169	4367	0.004878	0.309414	0.0000064091
2174	2855	0.000004	0.693678	0.0000008239
2184	4395	0.354032	0.246957	0.0000019219
2187	4416	0.113008	0.413471	0.0000005086
2192	2313	0.382207	0.012922	0.0000035923
2205	3826	0.000936	0.665376	0.0000062351
2205	4345	0.000799	0.615802	0.0000048593
2214	3581	0.000153	0.382602	0.0000016780
2214	3583	0.000632	0.638221	0.0000012297
2214	3678	0.000007	0.230573	0.0000007050
2215	3671	0.001045	0.675210	0.0000018207
2215	3672	0.001186	0.354304	0.0000015245
2215	3768	0.002798	0.977028	0.0000090453
2217	3842	0.000571	0.058369	0.0000079586
2224	3056	0.056728	0.026291	0.0000079918
2224	3788	0.083529	0.005658	0.0000086123
2229	4593	0.003680	0.099260	0.0000025698
2231	3166	0.104872	0.000229	0.0000019565
2244	4092	0.393798	0.022322	0.0000020026
2253	2473	0.990017	0.149164	0.0000019512
2262	2411	0.002303	0.754236	0.0000058707
2272	4093	0.514682	0.166999	0.0000022238
2296	2743	0.850422	0.000138	0.0000078077
2318	2475	0.764374	0.000181	0.0000050223
2333	4089	0.919163	0.127937	0.0000065833
2337	4088	0.388091	0.030787	0.0000020657
2338	3292	0.039987	0.938418	0.0000068641
2343	3004	0.780427	0.055700	0.0000094696
2349	2469	0.402435	0.011794	0.0000065923
2352	3110	0.005903	0.071181	0.0000082341
2363	4291	0.000009	0.262259	0.0000053483
2369	3083	0.000428	0.019679	0.0000023084
2374	3876	0.036448	0.491048	0.0000065337
2375	3079	0.477444	0.804150	0.0000033481
2382	2870	0.071430	0.176314	0.0000073730
2384	3142	0.000954	0.003250	0.0000077598
2389	3246	0.904531	0.521086	0.0000000586
2392	2647	0.529742	0.010312	0.0000083823
2393	2990	0.524966	0.163577	0.0000032871
2393	2983	0.524966	0.163577	0.0000032871
2395	3237	0.866669	0.941739	0.0000006784
2399	4121	0.517898	0.033241	0.0000050200
2418	3821	0.000064	0.264561	0.0000070081
2418	3822	0.000064	0.264561	0.0000070081
2424	4409	0.071168	0.000268	0.0000094699
2452	3830	0.000114	0.352161	0.0000013774
2454	2701	0.005490	0.098390	0.0000050289
2459	3352	0.698950	0.070816	0.0000025600
2459	3353	0.698950	0.070816	0.0000025600
2460	3798	0.001217	0.119013	0.0000000554
2462	2933	0.003479	0.222575	0.0000023068
2462	2934	0.004323	0.921710	0.0000098874
2462	3030	0.004398	0.947444	0.0000051063
2462	3032	0.004500	0.818705	0.0000051160
2462	3029	0.005613	0.624229	0.0000044473
2462	3028	0.004307	0.724908	0.0000047442
2462	3041	0.006735	0.129111	0.0000072473
2473	3873	0.888079	0.029557	0.0000078025
2475	2867	0.001149	0.731652	0.0000024595
2477	2791	0.000807	0.005414	0.0000019523
2477	4566	0.018946	0.524086	0.0000072230
2478	2867	0.017820	0.753169	0.0000078769
2479	2786	0.479625	0.002352	0.0000071624
2485	2912	0.007600	0.719523	0.0000023812
2488	3100	0.007302	0.858238	0.0000082696
2496	2856	0.000008	0.756763	0.0000024288
2496	2866	0.295952	0.014205	0.0000001201
2502	2867	0.142300	0.853143	0.0000050945
2507	4014	0.678171	0.394616	0.0000038483
2511	2544	0.202476	0.497762	0.0000083180
2511	3875	0.000025	0.188486	0.0000019127
2516	2856	0.000005	0.834553	0.0000034006
2519	2854	0.000004	0.464432	0.0000041425
2519	3292	0.065249	0.612576	0.0000031782
2523	2979	0.016918	0.002982	0.0000008504
2523	3635	0.076237	0.538066	0.0000039901
2525	3633	0.076237	0.538066	0.0000039901
2532	2854	0.000004	0.831413	0.0000038072
2532	2855	0.000004	0.831413	0.0000038072
2533	3824	0.218376	0.062614	0.0000045217
2533	3953	0.002036	0.901535	0.0000007105
2535	3635	0.024833	0.491254	0.0000023429
2535	4163	0.000678	0.302085	0.0000027060
2535	4991	0.028487	0.493966	0.0000018551
2541	4475	0.015397	0.616052	0.0000040770
2546	2867	0.039544	0.776648	0.0000067900
2546	3630	0.042405	0.461664	0.0000017540
2546	3631	0.042405	0.461664	0.0000017540
2546	3632	0.042405	0.461664	0.0000017540
2546	3918	0.000299	0.820377	0.0000030452
2546	4295	0.000171	0.014527	0.0000085287
2546	4378	0.023260	0.627223	0.0000034786
2547	3676	0.030865	0.657903	0.0000022988
2555	4193	0.305858	0.394678	0.0000006565
2565	2831	0.001025	0.147648	0.0000008362
2565	2830	0.001014	0.157339	0.0000008240
2565	3557	0.003307	0.164366	0.0000011154
2565	3635	0.000178	0.642857	0.0000047724
2565	3629	0.000178	0.642857	0.0000047724
2567	2867	0.029232	0.888787	0.0000022530
2571	4510	0.476212	0.578937	0.0000001193
2586	2692	0.000572	0.578202	0.0000039334
2586	3116	0.020200	0.696991	0.0000020070
2586	3896	0.000577	0.602332	0.0000043734
2586	3890	0.000483	0.470327	0.0000033405
2586	4150	0.000052	0.456071	0.0000005803
2648	3192	0.000133	0.012851	0.0000072199
2652	2848	0.000014	0.455210	0.0000023032
2669	2867	0.396283	0.703143	0.0000001334
2670	3893	0.301345	0.715736	0.0000041715
2670	4094	0.146514	0.161078	0.0000083736
2671	3814	0.048231	0.007256	0.0000089485
2671	4091	0.144759	0.072026	0.0000080664
2673	2697	0.000032	0.076632	0.0000088074
2673	2696	0.000032	0.076632	0.0000088074
2675	2864	0.278328	0.140996	0.0000044623
2675	2866	0.316687	0.578574	0.0000064542
2693	2865	0.352014	0.300419	0.0000001732
2693	2866	0.352014	0.300419	0.0000001732
2693	2867	0.352014	0.300419	0.0000001732
2695	2864	0.000001	0.433116	0.0000008322
2695	2866	0.623598	0.209888	0.0000075822
2697	3122	0.574652	0.649148	0.0000047492
2697	3161	0.669008	0.149111	0.0000037188
2699	3122	0.423416	0.658034	0.0000030665
2707	2856	0.000022	0.843056	0.0000016800
2707	3812	0.000343	0.534444	0.0000020896
2712	3772	0.626282	0.373335	0.0000047654
2712	4095	0.800329	0.748699	0.0000044398
2712	4091	0.800329	0.748699	0.0000044398
2725	4093	0.111101	0.262814	0.0000052695
2726	2856	0.000015	0.844636	0.0000017154
2729	2853	0.000002	0.910787	0.0000012850
2731	2854	0.000019	0.815304	0.0000013692
2731	2857	0.000019	0.815304	0.0000013692
2733	2856	0.000008	0.836728	0.0000031732
2743	3392	0.048265	0.312138	0.0000029463
2745	2856	0.000001	0.874672	0.0000047034
2745	3292	0.007677	0.553547	0.0000013115
2751	2874	0.726251	0.263148	0.0000000462
2754	2853	0.000002	0.267978	0.0000048136
2754	2852	0.000003	0.128620	0.0000067549
2754	4042	0.002258	0.733152	0.0000032388
2781	3304	0.354590	0.094150	0.0000062025
2784	2789	0.000007	0.837891	0.0000063079
2789	3488	0.548565	0.903103	0.0000038841
2812	4753	0.957231	0.000003	0.0000028281
2819	3825	0.472850	0.000213	0.0000034280
2819	3824	0.424855	0.055762	0.0000032524
2821	2930	0.705458	0.217205	0.0000045450
2830	4799	0.419685	0.017955	0.0000028747
2848	4392	0.881751	0.000001	0.0000075116
2848	4394	0.896693	0.000003	0.0000019261
2851	3229	0.348735	0.036765	0.0000000000
2856	3226	0.890747	0.000018	0.0000021124
2856	4167	0.919156	0.000036	0.0000034816
2856	4190	0.849303	0.000015	0.0000035574
2856	4194	0.901756	0.000002	0.0000047573
2856	4241	0.833338	0.000024	0.0000034174
2856	4242	0.833338	0.000024	0.0000034174
2856	4244	0.833338	0.000024	0.0000034174
2856	4247	0.825619	0.000011	0.0000032852
2856	4245	0.833338	0.000024	0.0000034174
2856	4243	0.833338	0.000024	0.0000034174
2856	4288	0.975921	0.000001	0.0000043122
2856	4289	0.996983	0.000004	0.0000035026
2856	4290	0.996983	0.000004	0.0000035026
2856	4313	0.909533	0.000014	0.0000035055
2856	4338	0.949472	0.000001	0.0000048351
2856	4337	0.949472	0.000001	0.0000048351
2856	4339	0.949472	0.000001	0.0000048351
2856	4753	0.828432	0.000004	0.0000037863
2867	2876	0.373350	0.016898	0.0000011682
2867	2880	0.440531	0.021690	0.0000012007
2867	2933	0.558346	0.020273	0.0000010325
2867	2979	0.839177	0.013982	0.0000036327
2867	3020	0.587188	0.762037	0.0000000089
2867	3025	0.586695	0.587751	0.0000000078
2867	3028	0.575890	0.464919	0.0000000070
2867	3056	0.974015	0.029459	0.0000007587
2867	3069	0.704304	0.019652	0.0000010934
2867	3071	0.459806	0.001826	0.0000089616
2867	3105	0.193848	0.110098	0.0000024504
2867	3106	0.224320	0.318671	0.0000038966
2867	3119	0.000003	0.583147	0.0000047991
2867	3126	0.000003	0.489678	0.0000043378
2867	3127	0.000003	0.561275	0.0000046927
2867	3148	0.000003	0.474363	0.0000042385
2867	3153	0.365875	0.126874	0.0000029233
2867	3205	0.000010	0.861355	0.0000070608
2867	3207	0.415136	0.982380	0.0000064105
2867	3262	0.779008	0.977422	0.0000081702
2867	3387	0.395829	0.898034	0.0000014242
2867	3388	0.395829	0.898034	0.0000014242
2867	3753	0.830948	0.897180	0.0000029546
2867	3775	0.474266	0.690174	0.0000017433
2867	3831	0.459005	0.297712	0.0000070230
2867	3835	0.459005	0.297712	0.0000070230
2867	3832	0.308528	0.968724	0.0000002953
2867	3842	0.519202	0.128145	0.0000000711
2867	3866	0.296956	0.798919	0.0000002833
2867	3917	0.189346	0.558365	0.0000068170
2867	3920	0.194550	0.382762	0.0000049300
2867	3923	0.189346	0.558365	0.0000068170
2867	3924	0.189346	0.558365	0.0000068170
2867	3930	0.177413	0.535307	0.0000041779
2867	3932	0.195896	0.465223	0.0000045222
2867	3936	0.296253	0.520635	0.0000002959
2867	3944	0.274127	0.369447	0.0000005145
2867	3954	0.159897	0.088009	0.0000000288
2867	3955	0.181838	0.176775	0.0000000345
2867	3953	0.159897	0.088009	0.0000000288
2867	3949	0.181838	0.176775	0.0000000345
2867	4154	0.596607	0.064938	0.0000001124
2867	4161	0.595678	0.818023	0.0000000096
2867	4175	0.416792	0.101216	0.0000001789
2867	4190	0.279575	0.688723	0.0000024415
2867	4302	0.336104	0.009650	0.0000041334
2867	4415	0.564578	0.000181	0.0000000395
2867	4587	0.424319	0.962559	0.0000000550
2867	4616	0.612677	0.441602	0.0000010628
2867	4623	0.552664	0.006852	0.0000096544
2867	4783	0.395763	0.433568	0.0000012695
2867	4895	0.378270	0.113752	0.0000007990
2867	4913	0.324436	0.233665	0.0000003504
2867	4976	0.305606	0.285178	0.0000003630
2867	4974	0.306079	0.336537	0.0000003629
2867	4981	0.414549	0.584784	0.0000000765
2907	2979	0.481931	0.000178	0.0000092470
2909	3328	0.235456	0.326904	0.0000079931
2933	4422	0.013878	0.764306	0.0000046254
2933	4418	0.019918	0.736601	0.0000046249
2934	4420	0.007773	0.734585	0.0000094279
2946	3267	0.083123	0.000982	0.0000019140
2957	3328	0.050983	0.012431	0.0000070467
2966	3771	0.606794	0.020792	0.0000071304
2979	3061	0.009066	0.044964	0.0000053795
2979	3321	0.001236	0.085666	0.0000045526
2979	3579	0.249563	0.914959	0.0000008336
2979	4944	0.001413	0.032560	0.0000085177
2979	4946	0.001413	0.032560	0.0000085177
2979	4947	0.001413	0.032560	0.0000085177
3007	4090	0.008011	0.524581	0.0000038305
3017	4089	0.086689	0.681598	0.0000051007
3023	4418	0.030892	0.331969	0.0000022022
3023	4417	0.031402	0.263983	0.0000019774
3026	3385	0.079447	0.020691	0.0000016636
3026	3386	0.099199	0.031145	0.0000059221
3026	4176	0.325856	0.051191	0.0000022668
3026	4849	0.186118	0.392278	0.0000050346
3044	3244	0.169126	0.653286	0.0000056014
3045	4179	0.041720	0.039263	0.0000016768
3055	3823	0.018590	0.061227	0.0000059802
3057	4345	0.059912	0.475961	0.0000081667
3061	4124	0.629691	0.024620	0.0000020821
3061	4125	0.629691	0.024620	0.0000020821
3061	4127	0.741212	0.105897	0.0000061996
3069	3320	0.010949	0.032590	0.0000081004
3069	4141	0.171292	0.524648	0.0000052479
3069	4152	0.089058	0.974737	0.0000039311
3069	4150	0.089058	0.974737	0.0000039311
3069	4168	0.168944	0.490435	0.0000048878
3069	4796	0.161809	0.418314	0.0000011610
3069	4815	0.069071	0.102092	0.0000060558
3075	3411	0.368869	0.580837	0.0000083313
3119	3217	0.583887	0.949391	0.0000040089
3119	3223	0.647621	0.670438	0.0000045000
3119	3218	0.596224	0.951691	0.0000040978
3119	3224	0.684888	0.328065	0.0000050258
3119	3219	0.525970	0.426476	0.0000035646
3122	3244	0.742873	0.669917	0.0000041361
3122	3247	0.742873	0.669917	0.0000041361
3122	3242	0.742873	0.669917	0.0000041361
3122	3234	0.742873	0.669917	0.0000041361
3126	3241	0.776693	0.101421	0.0000038150
3130	3304	0.866330	0.340679	0.0000097443
3132	3218	0.780596	0.792519	0.0000047602
3132	3219	0.803359	0.528550	0.0000048271
3154	3237	0.735808	0.082570	0.0000036219
3154	3241	0.619705	0.503288	0.0000041222
3154	3243	0.643795	0.754606	0.0000039567
3154	3242	0.604160	0.328557	0.0000040646
3154	3239	0.619705	0.503288	0.0000041222
3156	3320	0.009683	0.006423	0.0000080227
3160	4157	0.041353	0.015640	0.0000054259
3168	3216	0.701827	0.848032	0.0000044912
3182	3249	0.615356	0.515606	0.0000038933
3186	3461	0.856992	0.210312	0.0000051254
